English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tunisian Word
ambitious	0	0	0	0	0	0	0	0	0	0	mo7tamil
ambulance	0	0	0	1	0	0	0	0	0	1	amboulans
ambush	1	0	0	1	0	1	0	0	1	0	kmin
ameliorate	0	0	0	0	0	0	1	0	0	0	7assen
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	mo9tani3
amend	0	0	0	0	0	0	1	0	0	0	salla7
amendment	0	0	0	0	0	0	0	0	0	0	ta3dil
amends	0	0	0	0	0	0	1	0	0	0	ta3widh
amenity	0	0	0	0	0	0	1	0	0	0	rafahiya
amethyst	0	0	0	0	0	0	0	0	0	0	jamast
ammunition	1	0	0	1	0	1	0	0	0	0	3adad
amnesty	0	0	0	0	0	0	1	0	0	1	3afu
amorous	0	0	0	0	1	0	1	0	0	0	3ashi9
amount	0	0	0	0	0	0	0	0	0	0	mi9dar
amphibian	0	0	0	0	0	0	0	0	0	0	barma2i
ample	0	0	0	0	0	0	1	0	0	0	wafer
amplify	0	0	0	0	0	0	0	0	0	0	kabbar
amplitude	0	0	0	0	0	0	0	0	0	0	sa3a
amply	0	0	0	0	0	0	0	0	0	0	bel-wafer
amputate	0	0	0	1	0	1	0	1	0	0	btar
amputation	0	0	0	1	0	1	0	1	0	0	btir
amulet	0	0	0	0	0	0	0	0	0	0	7irz
amuse	0	0	0	0	1	0	1	0	0	0	salla
amusement	0	0	0	0	1	0	1	0	0	0	tsaliya
amusing	0	0	0	0	1	0	1	0	0	0	mosalli
anagram	0	0	0	0	0	0	0	0	0	0	ta9lib
anal	0	0	0	0	0	0	0	0	0	0	ta7lili
analgesic	0	0	0	0	0	0	1	0	0	0	mosakkin
analogous	0	0	0	0	0	0	0	0	0	0	motshabeh
analogy	0	0	0	0	0	0	0	0	0	0	tashbih
analyse	0	0	0	0	0	0	0	0	0	0	7allal
analysis	0	0	0	0	0	0	0	0	0	0	ta7lil
analyst	0	0	0	0	0	0	0	0	0	0	mo7allil
analytical	0	0	0	0	0	0	0	0	0	0	ta7lili
anarchist	1	0	0	1	0	1	0	0	0	0	fawdhawi
anarchy	1	0	0	1	0	1	0	0	0	0	fawdha
anathema	1	0	1	0	0	1	0	0	0	0	la3na
anatomy	0	0	0	0	0	0	0	0	0	0	3ilm t-tashri7
ancestor	0	0	0	0	0	0	0	0	0	0	jedd
ancestral	0	0	0	0	0	0	0	0	0	0	jeddi
ancestry	0	0	0	0	0	0	0	0	0	0	nasab
anchor	0	0	0	0	0	0	0	0	0	0	marsah
anchovy	0	0	0	0	0	0	0	0	0	0	anshouga
ancient	0	0	0	0	0	0	0	0	0	0	9dim
andante	0	0	0	0	0	0	0	0	0	0	andante
anecdote	0	0	0	0	0	0	0	0	0	0	7kèya
anemia	0	0	0	0	0	1	0	1	0	0	fa9r d-dam
anesthetic	0	0	0	0	0	0	0	0	0	0	mokhaddir
anew	0	0	0	0	0	0	0	0	0	0	men jdid
angel	0	0	0	0	1	0	1	0	0	1	malak
anger	1	0	0	0	0	1	0	0	0	0	ghadhba
angle	0	0	0	0	0	0	0	0	0	0	zawiya
angler	0	0	0	0	0	0	0	0	0	0	sayyad smek
angry	1	0	0	0	0	1	0	0	0	0	ghadhbèn
anguish	1	0	0	1	0	1	0	1	0	0	3adhab
angular	0	0	0	0	0	0	0	0	0	0	zawiy
animal	0	0	0	0	0	0	0	0	0	0	7ayawan
animate	0	0	0	0	0	0	1	0	0	0	na33ash
animated	0	0	0	0	1	0	1	0	0	0	mon33ash
animation	0	0	0	0	1	0	1	0	0	0	tan33ish
animosity	1	0	0	0	0	1	0	0	0	0	3ada2
ankle	0	0	0	0	0	0	0	0	0	0	ka7la
annex	0	0	0	0	0	0	0	0	0	0	molha9
annexation	0	0	0	0	0	0	0	0	0	0	dham
anniversary	0	0	0	0	1	0	1	0	0	0	3id
announce	0	0	0	0	0	0	0	0	0	0	3lan
announcement	0	0	0	0	0	0	0	0	0	0	i3lan
announcer	0	0	0	0	0	0	0	0	0	0	mo3lin
annoy	1	0	0	0	0	1	0	0	0	0	narvez
annoyance	1	0	0	0	0	1	0	0	0	0	narvoza
annoying	1	0	0	0	0	1	0	0	0	0	mo9ri
annul	0	0	0	0	0	0	0	0	0	0	lagha
annulment	0	0	0	0	0	0	0	0	0	0	laghy
anoint	0	0	0	0	0	0	1	0	0	1	masa7
anomalous	0	0	0	0	0	1	0	0	0	0	gharib
anomaly	0	0	0	0	0	1	0	0	0	0	ikhtilaf
anonymous	0	0	0	0	0	0	0	0	0	0	majhoul
answer	0	0	0	0	0	0	1	0	0	1	jweb
ant	0	0	0	0	0	0	0	0	0	0	nmel
antagonism	1	0	0	0	0	1	0	0	0	0	3ada2
antagonist	1	0	0	0	0	1	0	0	0	0	mo9awim
antagonistic	1	0	0	0	0	1	0	0	0	0	mo9awem
ante	0	1	0	0	0	0	0	0	0	0	mzé
antecedent	0	0	0	0	0	0	0	0	0	0	sabi9
anteroom	0	0	0	0	0	0	0	0	0	0	9a3at isti9bal
anthem	0	0	0	0	1	0	1	0	0	1	nashid
anthology	0	0	0	0	0	0	0	0	0	0	majmou3a
anthropology	0	0	0	0	0	0	0	0	0	0	3ilm l-insan
antibiotic	0	0	0	0	0	0	1	0	0	0	mowadd 7ayawi
antibody	0	0	0	0	0	0	0	0	0	0	jism dhidd
antic	0	0	0	0	0	0	0	0	0	0	7arik
anticipate	0	1	0	0	0	0	0	0	0	0	twa99a3
anticipation	0	1	0	0	0	0	0	0	0	0	tarajji
antics	0	0	0	0	0	0	0	0	0	0	7arakat
antidote	0	0	0	0	0	0	1	0	0	0	tiryak
antipathy	1	0	1	0	0	1	0	0	0	0	karahiya
antiquated	0	0	0	0	0	1	0	0	0	0	9dim
antique	0	0	0	0	0	0	0	0	0	0	3ati9
antiquity	0	0	0	0	0	0	0	0	0	0	9idam
antiseptic	0	0	0	0	0	0	1	0	0	0	mo3aqqim
antithesis	0	0	0	0	0	0	0	0	0	0	n9idh
anvil	0	0	0	0	0	0	0	0	0	0	sindan
anxiety	1	1	0	1	0	1	0	1	0	0	9ala9
anxious	1	1	0	1	0	1	0	1	0	0	9ali9
anybody	0	0	0	0	0	0	0	0	0	0	7add
anyhow	0	0	0	0	0	0	0	0	0	0	3ala kol 7al
anymore	0	0	0	0	0	0	0	0	0	0	ba3d l-youm
anyone	0	0	0	0	0	0	0	0	0	0	ayy wa7ed
